matlab_sample_id,matlab_sweep_id,matlab_sweep_index,input_angle_rad,input_direction,jacobian_condition,eligibility,pmks_sample_id,status,reason
matlab_0215,matlab_sweep_00,215,5.3232542185826679,1,1.9248372474084114,eligible,pmks_positive_0215,matched,
matlab_0216,matlab_sweep_00,216,5.340707511102611,1,1.9167360996015497,eligible,pmks_positive_0216,matched,
matlab_0217,matlab_sweep_00,217,5.3581608036225541,1,1.9085262870760653,eligible,pmks_positive_0217,matched,
matlab_0218,matlab_sweep_00,218,5.3756140961424972,1,1.9002151533329801,eligible,pmks_positive_0218,matched,
matlab_0219,matlab_sweep_00,219,5.3930673886624403,1,1.8918099724968367,eligible,pmks_positive_0219,matched,
matlab_0220,matlab_sweep_00,220,5.4105206811823834,1,1.883317940152671,eligible,pmks_positive_0220,matched,
matlab_0221,matlab_sweep_00,221,5.4279739737023265,1,1.8747461649249044,eligible,pmks_positive_0221,matched,
matlab_0222,matlab_sweep_00,222,5.4454272662222696,1,1.8661016607916552,eligible,pmks_positive_0222,matched,
matlab_0223,matlab_sweep_00,223,5.4628805587422127,1,1.8573913401242261,eligible,pmks_positive_0223,matched,
matlab_0224,matlab_sweep_00,224,5.4803338512621558,1,1.8486220074381794,eligible,pmks_positive_0224,matched,
matlab_0225,matlab_sweep_00,225,5.4977871437820989,1,1.8398003538393877,eligible,pmks_positive_0225,matched,
matlab_0226,matlab_sweep_00,226,5.515240436302042,1,1.8309329521457649,eligible,pmks_positive_0226,matched,
matlab_0227,matlab_sweep_00,227,5.5326937288219851,1,1.82202625266302,eligible,pmks_positive_0227,matched,
matlab_0228,matlab_sweep_00,228,5.5501470213419282,1,1.8130865795907656,eligible,pmks_positive_0228,matched,
matlab_0229,matlab_sweep_00,229,5.5676003138618713,1,1.8041201280335606,eligible,pmks_positive_0229,matched,
matlab_0230,matlab_sweep_00,230,5.5850536063818144,1,1.7951329615900549,eligible,pmks_positive_0230,matched,
matlab_0231,matlab_sweep_00,231,5.6025068989017575,1,1.786131010492209,eligible,pmks_positive_0231,matched,
matlab_0232,matlab_sweep_00,232,5.6199601914217006,1,1.7771200702656997,eligible,pmks_positive_0232,matched,
matlab_0233,matlab_sweep_00,233,5.6374134839416437,1,1.7681058008818988,eligible,pmks_positive_0233,matched,
matlab_0234,matlab_sweep_00,234,5.6548667764615868,1,1.7590937263713846,eligible,pmks_positive_0234,matched,
matlab_0235,matlab_sweep_00,235,5.6723200689815299,1,1.7500892348686647,eligible,pmks_positive_0235,matched,
matlab_0236,matlab_sweep_00,236,5.6897733615014729,1,1.7410975790577123,eligible,pmks_positive_0236,matched,
matlab_0237,matlab_sweep_00,237,5.707226654021416,1,1.7321238769879419,eligible,pmks_positive_0237,matched,
matlab_0238,matlab_sweep_00,238,5.7246799465413591,1,1.7231731132304922,eligible,pmks_positive_0238,matched,
matlab_0239,matlab_sweep_00,239,5.7421332390613022,1,1.7142501403449408,eligible,pmks_positive_0239,matched,
